aaer_release_to_party_fkey,aaer_release_fkey,raw_name,party_type_fkey,type,auditor_fkey,auditor_name,auditor_affiliate_fkey,aud_aff_name,cik,company_name,law_firm_fkey,law_firm_name
189,2946,Cintas Corp,3,Entity,,,,,723254,CINTAS CORP,,
212,2731,Enron Corp/or/,3,Entity,,,,,1024401,ENRON CORP/OR/,,
213,2731,Enron Corp,3,Entity,,,,,72859,ENRON CORP,,
214,2731,Enron North America Corp,3,Entity,,,,,1043166,ENRON NORTH AMERICA CORP,,
216,2730,"Cv Sciences, Inc.",3,Entity,,,,,1510964,"CV Sciences, Inc.",,
237,2722,Axesstel Inc,3,Entity,,,,,1092492,AXESSTEL INC,,
239,2721,"Cv Sciences, Inc.",3,Entity,,,,,1510964,"CV Sciences, Inc.",,
246,2720,"Shopeye, Inc.",3,Entity,,,,,1525896,"ShopEye, Inc.",,
249,2719,Interoil Corp,3,Entity,,,,,1221715,INTEROIL CORP,,
251,2718,Itt Educational Services Inc,3,Entity,,,,,922475,ITT EDUCATIONAL SERVICES INC,,
253,2717,Itt Educational Services Inc,3,Entity,,,,,922475,ITT EDUCATIONAL SERVICES INC,,
264,2962,Longfin Corp,3,Entity,,,,,1699683,Longfin Corp,,
267,2961,Homex Development Corp,3,Entity,,,,,1293153,Homex Development Corp.,,
269,2960,Homex Development Corp,3,Entity,,,,,1293153,Homex Development Corp.,,
273,2953,Ceb Inc,3,Entity,,,,,1066104,CEB Inc.,,
275,2954,Aceto Corp,3,Entity,,,,,2034,ACETO CORP,,
277,2955,Cv Sciences Inc,3,Entity,,,,,1510964,"CV Sciences, Inc.",,
304,2978,Sequential Brands Group Inc,3,Entity,,,,,1648428,"Sequential Brands Group, Inc.",,
318,2889,"Super Micro Computer, Inc.",3,Entity,,,,,1375365,"Super Micro Computer, Inc.",,
320,2890,"Super Micro Computer, Inc.",3,Entity,,,,,1375365,"Super Micro Computer, Inc.",,
321,2712,"H.j. Heinz Company, L.p.",3,Entity,,,,,1599727,"H.J. Heinz Company, L.P.",,
324,2712,"Kraft Foods Group, Inc.",3,Entity,,,,,1545158,"Kraft Foods Group, Inc.",,
334,2892,"Hertz Global Holdings, Inc",3,Entity,,,,,1657853,"HERTZ GLOBAL HOLDINGS, INC",,
333,2917,Monsanto Co,3,Entity,,,,,1110783,MONSANTO CO /NEW/,,
336,2892,Hertz Corp,3,Entity,,,,,47129,HERTZ CORP,,
340,2918,Obsidian Energy Ltd.,3,Entity,,,,,1334388,OBSIDIAN ENERGY LTD.,,
341,2866,"Revolution Lighting Technologies, Inc.",3,Entity,,,,,917523,"Revolution Lighting Technologies, Inc.",,
346,2919,Obsidian Energy Ltd.,3,Entity,,,,,1334388,OBSIDIAN ENERGY LTD.,,
349,2865,"Revolution Lighting Technologies, Inc.",3,Entity,,,,,917523,"Revolution Lighting Technologies, Inc.",,
351,2893,Breitling Energy Corp,3,Entity,,,,,1229089,Breitling Energy Corp,,
354,3016,Wageworks Inc,3,Entity,,,,,1158863,"WAGEWORKS, INC.",,
355,2864,"Revolution Lighting Technologies, Inc.",3,Entity,,,,,917523,"Revolution Lighting Technologies, Inc.",,
356,2920,Icpw Liquidation Corp,3,Entity,,,,,1301712,ICPW LIQUIDATION Corp,,
360,2711,Societe Generale Sa,3,Entity,,,,,1145665,SOCIETE GENERALE SA,,
366,2921,Stop Sleep Go Inc.,3,Entity,,,,,1565430,Stop Sleep Go Inc.,,
367,2863,Jbs Usa Holding Lux S.a R.l.,3,Entity,,,,,1467955,JBS USA HOLDING LUX S.A R.L.,,
368,2921,"Imk Group, Inc.",3,Entity,,,,,1321710,"IMK GROUP, INC.",,
372,2863,Pilgrims Pride Corp,3,Entity,,,,,802481,PILGRIMS PRIDE CORP,,
373,2921,"Radtek, Inc",3,Entity,,,,,1487252,"RadTek, Inc",,
375,2921,"Therapeutic Solutions International, Inc.",3,Entity,,,,,1419051,"THERAPEUTIC SOLUTIONS INTERNATIONAL, INC.",,
382,2709,"Osiris Therapeutics, Inc.",3,Entity,,,,,1360886,"OSIRIS THERAPEUTICS, INC.",,
383,2922,Musclepharm Corp,3,Entity,,,,,1415684,MusclePharm Corp,,
391,2853,Apex Global Brands Inc,3,Entity,,,,,844161,Apex Global Brands Inc.,,
392,2923,QuantX Management LLP,3,Entity,,,,,1562594,"Liquid Holdings Group, Inc.",,
401,2896,Cv Sciences Inc,3,Entity,,,,,1510964,"CV Sciences, Inc.",,
405,2868,"Hill International, Inc.",3,Entity,,,,,1287808,"Hill International, Inc.",,
410,2924,"Liquid Holdings Group, Inc.",3,Entity,,,,,1562594,"Liquid Holdings Group, Inc.",,
412,2707,Swisher Hygiene Inc.,3,Entity,,,,,1504747,Swisher Hygiene Inc.,,
416,2706,Swisher Hygiene Inc.,3,Entity,,,,,1504747,Swisher Hygiene Inc.,,
421,2705,Swisher Hygiene Inc.,3,Entity,,,,,1504747,Swisher Hygiene Inc.,,
422,2925,"Liquid Holdings Group, Inc.",3,Entity,,,,,1562594,"Liquid Holdings Group, Inc.",,
426,2855,Homex Development Corp,3,Entity,,,,,1293153,Homex Development Corp.,,
427,2895,Fusion Pharmaceuticals Inc,3,Entity,,,,,1805890,Fusion Pharmaceuticals Inc.,,
433,2704,Colliers International Group Inc.,3,Entity,,,,,913353,Colliers International Group Inc.,,
439,2703,Weatherford International Ltd,3,Entity,,,,,1170565,WEATHERFORD INTERNATIONAL LTD,,
446,2928,Saipem SpA,3,Entity,,,,,1181702,SAIPEM SPA,,
453,2872,"Manitex International, Inc.",3,Entity,,,,,1302028,"Manitex International, Inc.",,
455,2929,"China Valves Technology, Inc",3,Entity,,,,,1080360,"CHINA VALVES TECHNOLOGY, INC",,
470,2700,Logitech International S.a.,3,Entity,,,,,1032975,LOGITECH INTERNATIONAL S.A.,,
471,2856,Amazon Com Inc,3,Entity,,,,,1018724,AMAZON COM INC,,
472,2930,Quadrant 4 System Corp,3,Entity,,,,,878802,Quadrant 4 System Corp,,
474,2897,Valeant Pharmaceuticals International,3,Entity,,,,,930184,VALEANT PHARMACEUTICALS INTERNATIONAL,,
480,2931,Icpw Liquidation Corp,3,Entity,,,,,1301712,ICPW LIQUIDATION Corp,,
483,2761,Summit Stable Value Fund Llc,3,Entity,,,,,1500324,SUMMIT STABLE VALUE FUND LLC,,
488,2898,Valeant Pharmaceuticals International,3,Entity,,,,,930184,VALEANT PHARMACEUTICALS INTERNATIONAL,,
489,2873,"Manitex International, Inc.",3,Entity,,,,,1302028,"Manitex International, Inc.",,
490,2932,"Hill International, Inc.",3,Entity,,,,,1287808,"Hill International, Inc.",,
501,2915,Left Behind Games Inc,3,Entity,,,,,13055,LEFT BEHIND GAMES INC.,,
502,2933,"Sports Field Holdings, Inc.",3,Entity,,,,,1539551,"SPORTS FIELD HOLDINGS, INC.",,
516,2914,Obsidian Energy Ltd,3,Entity,,,,,1334388,OBSIDIAN ENERGY LTD.,,
518,2874,"Manitex International, Inc.",3,Entity,,,,,1302028,"Manitex International, Inc.",,
522,2858,Argo Group International Holdings Ltd,3,Entity,,,,,1091748,"Argo Group International Holdings, Inc.",,
526,2907,Item 9 Labs Corp,3,Entity,,,,,1500123,Item 9 Labs Corp.,,
531,2936,"Giant Gray, Inc.",3,Entity,,,,,1376914,"Giant Gray, Inc.",,
538,2937,"Bally Technologies, Inc.",3,Entity,,,,,2491,"BALLY TECHNOLOGIES, INC.",,
544,2902,Alcon Inc,3,Entity,,,,,1167379,ALCON INC,,
555,2905,Illumina Inc,3,Entity,,,,,1110803,"ILLUMINA, INC.",,
565,2767,Quadrant 4 System Corp,3,Entity,,,,,878802,Quadrant 4 System Corp,,
567,2757,Goldman Sachs Group Inc,3,Entity,,,,,886982,GOLDMAN SACHS GROUP INC,,
569,2757,Goldman Sachs & Co. Llc,3,Entity,,,,,42352,GOLDMAN SACHS & CO. LLC,,
581,2660,Herc Holdings Inc,3,Entity,,,,,1364479,HERC HOLDINGS INC,,
595,2664,"Corporate Resource Services, Inc.",3,Entity,,,,,943110,"Corporate Resource Services, Inc.",,
607,2810,Blue Earth Inc,3,Entity,,,,,1422109,"Blue Earth, Inc.",,
612,2665,"Corporate Resource Services, Inc.",3,Entity,,,,,943110,"Corporate Resource Services, Inc.",,
2389,391,Sabratek Corp,3,Entity,,,,,1012480,SABRATEK CORP,,
621,2809,Blue Earth Inc,3,Entity,,,,,1422109,"Blue Earth, Inc.",,
633,2668,Panasonic Corp,3,Entity,,,,,63271,PANASONIC Corp,,
639,2669,Panasonic Corp,3,Entity,,,,,63271,PANASONIC Corp,,
641,2884,Rci Hospitality Holdings Inc,3,Entity,,,,,935419,"RCI HOSPITALITY HOLDINGS, INC.",,
645,2807,Santa Fe Gold Corp,3,Entity,,,,,851726,Santa Fe Gold CORP,,
648,2859,Santa Fe Gold Corp,3,Entity,,,,,851726,Santa Fe Gold CORP,,
668,2862,Marathon Petroleum Corp,3,Entity,,,,,1510295,Marathon Petroleum Corp,,
674,2880,Santa Fe Gold Corp,3,Entity,,,,,851726,Santa Fe Gold CORP,,
677,2879,Santa Fe Gold Corp,3,Entity,,,,,851726,Santa Fe Gold CORP,,
684,2876,Summit Stable Value Fund LLC,3,Entity,,,,,1500324,SUMMIT STABLE VALUE FUND LLC,,
690,2773,Comscore Inc,3,Entity,,,,,1158172,"COMSCORE, INC.",,
694,2775,Digi International Inc,3,Entity,,,,,854775,DIGI INTERNATIONAL INC,,
700,2777,Nissan Motor Co Ltd,3,Entity,,,,,800937,NISSAN MOTOR CO LTD                                     /FI,,
712,2782,Bancorp Inc,3,Entity,,,,,1295401,"Bancorp, Inc.",,
714,2783,Bancorp Inc,3,Entity,,,,,1295401,"Bancorp, Inc.",,
717,2785,Accelera Innovations Inc,3,Entity,,,,,1444144,"ACCELERA INNOVATIONS, INC.",,
718,2785,Premier Holding Corp,3,Entity,,,,,1030916,PREMIER HOLDING CORP.,,
719,2785,Cv Sciences Inc,3,Entity,,,,,1510964,"CV Sciences, Inc.",,
721,2786,Wilmington Trust Corp,3,Entity,,,,,872821,WILMINGTON TRUST CORP,,
723,2787,Wilmington Trust Corp,3,Entity,,,,,872821,WILMINGTON TRUST CORP,,
725,2788,Viking Energy Group Inc,3,Entity,,,,,1102432,"VIKING ENERGY GROUP, INC.",,
731,2791,Cognizant Technology Solutions Corp,3,Entity,,,,,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,,
738,2801,Agria Corp,3,Entity,,,,,1413257,AGRIA CORP,,
744,2803,Quadrant 4 System Corp,3,Entity,,,,,878802,Quadrant 4 System Corp,,
747,2805,Peregrine Systems Inc,3,Entity,,,,,1031107,PEREGRINE SYSTEMS INC,,
751,2806,Cur Media Inc,3,Entity,,,,,1556226,"CUR MEDIA, INC.",,
752,2806,Lollipop Corp,3,Entity,,,,,1565383,Lollipop Corp,,
753,2806,Bio-en Holdings Corp,3,Entity,,,,,1568139,Bio-En Holdings Corp.,,
754,2806,Black Stallion Oil & Gas Inc,3,Entity,,,,,1542335,Black Stallion Oil & Gas Inc.,,
770,2815,Piksel Inc,3,Entity,,,,,1076700,"PIKSEL, INC.",,
775,2817,Beazer Homes Usa Inc,3,Entity,,,,,915840,BEAZER HOMES USA INC,,
777,2818,Ebay Inc,3,Entity,,,,,1065088,EBAY INC,,
778,2818,Paypal Holdings Inc,3,Entity,,,,,1633917,"PayPal Holdings, Inc.",,
779,2818,Xoom Corp,3,Entity,,,,,1315657,XOOM Corp,,
781,2819,Telefonica S A,3,Entity,,,,,814052,TELEFONICA S A,,
783,2820,Apple Inc,3,Entity,,,,,320193,Apple Inc.,,
791,2823,Life Partners Holdings Inc,3,Entity,,,,,49534,LIFE PARTNERS HOLDINGS INC,,
794,2824,Jade Global Holdings Inc,3,Entity,,,,,1518171,"Jade Global Holdings, Inc.",,
795,2824,Hydrophi Technologies Group Inc,3,Entity,,,,,1496741,"HydroPhi Technologies Group, Inc.",,
796,2824,Mobile Vault Inc,3,Entity,,,,,1522903,"Mobile Vault, Inc.",,
797,2824,Shopeye Inc,3,Entity,,,,,1525896,"ShopEye, Inc.",,
801,2826,Salix Pharmaceuticals Ltd,3,Entity,,,,,1009356,SALIX PHARMACEUTICALS LTD,,
806,2827,Celator Pharmaceuticals Inc,3,Entity,,,,,1327467,Celator Pharmaceuticals Inc,,
807,2827,Jazz Pharmaceuticals Plc,3,Entity,,,,,1232524,Jazz Pharmaceuticals plc,,
813,2830,Quest Software Inc,3,Entity,,,,,1088033,QUEST SOFTWARE INC,,
815,2831,Logitech International SA,3,Entity,,,,,1032975,LOGITECH INTERNATIONAL S.A.,,
818,2621,Cardinal Communications Inc,3,Entity,,,,,1035398,"CARDINAL COMMUNICATIONS, INC",,
821,2620,Cardinal Communications Inc,3,Entity,,,,,1035398,"CARDINAL COMMUNICATIONS, INC",,
823,2619,Zco Liquidating Corp,3,Entity,,,,,1355128,ZCO LIQUIDATING Corp,,
841,2615,Smf Energy Liquidating Trust,3,Entity,,,,,1024452,SMF Energy Liquidating Trust,,
846,2613,Miller Energy Resources Inc,3,Entity,,,,,785968,"MILLER ENERGY RESOURCES, INC.",,
849,2612,Vereit Inc,3,Entity,,,,,1507385,"VEREIT, Inc.",,
856,2611,Bankrate Inc,3,Entity,,,,,1518222,"Bankrate, Inc.",,
859,2610,Bankrate Inc,3,Entity,,,,,1518222,"Bankrate, Inc.",,
868,2843,Home Solutions Of America Inc,3,Entity,,,,,855424,HOME SOLUTIONS OF AMERICA INC,,
875,2841,Ces Synergies Inc,3,Entity,,,,,1556508,"CES Synergies, Inc.",,
877,2841,Kibush Capital Corp,3,Entity,,,,,1614466,Kibush Capital Corp,,
878,2841,Leo Motors Inc,3,Entity,,,,,1356564,"Leo Motors, Inc.",,
879,2608,Obsidian Energy Ltd,3,Entity,,,,,1334388,OBSIDIAN ENERGY LTD.,,
880,2841,American International Ventures Inc /de/,3,Entity,,,,,5656,AMERICAN INTERNATIONAL VENTURES INC /DE/,,
882,2841,Omni Shrimp Inc,3,Entity,,,,,863895,"Omni Shrimp, Inc.",,
883,2607,Exotics Com Inc,3,Entity,,,,,1104220,EXOTICS COM INC,,
887,2606,Om Group Inc,3,Entity,,,,,899723,OM GROUP INC,,
890,2605,Basin Water Inc,3,Entity,,,,,1352045,"Basin Water, Inc.",,
893,2840,Ces Synergies Inc,3,Entity,,,,,1556508,"CES Synergies, Inc.",,
894,2840,Kibush Capital Corp,3,Entity,,,,,1614466,Kibush Capital Corp,,
895,2840,Leo Motors Inc,3,Entity,,,,,1356564,"Leo Motors, Inc.",,
897,2840,American International Ventures Inc /de/,3,Entity,,,,,5656,AMERICAN INTERNATIONAL VENTURES INC /DE/,,
898,2840,Omni Shrimp Inc,3,Entity,,,,,863895,"Omni Shrimp, Inc.",,
914,2602,Invent Ventures Inc,3,Entity,,,,,912844,"INVENT Ventures, Inc.",,
923,2600,Uni-pixel,3,Entity,,,,,1171012,Uni-Pixel,,
926,2599,Qlogic Corp,3,Entity,,,,,918386,QLOGIC CORP,,
927,2599,Cavium Inc,3,Entity,,,,,1175609,"CAVIUM, INC.",,
933,2598,Volt Solar Systems Inc,3,Entity,,,,,1454725,"Volt Solar Systems, Inc.",,
945,2595,Wellcare Health Plans Inc,3,Entity,,,,,1279363,"WELLCARE HEALTH PLANS, INC.",,
947,2594,Stagwell Inc,3,Entity,,,,,876883,Stagwell Inc,,
951,2593,Cardinal Communications Inc,3,Entity,,,,,1035398,"CARDINAL COMMUNICATIONS, INC",,
953,2592,Nci Inc,3,Entity,,,,,1334478,"NCI, Inc.",,
955,2591,Wellcare Health Plans Inc,3,Entity,,,,,1279363,"WELLCARE HEALTH PLANS, INC.",,
961,2590,Accelera Innovations Inc,3,Entity,,,,,1444144,"ACCELERA INNOVATIONS, INC.",,
962,2590,Premier Holding Corp,3,Entity,,,,,1030916,PREMIER HOLDING CORP.,,
963,2590,Cv Sciences Inc,3,Entity,,,,,1510964,"CV Sciences, Inc.",,
970,2589,Premier Holding Corp,3,Entity,,,,,1030916,PREMIER HOLDING CORP.,,
971,2589,Cv Sciences Inc,3,Entity,,,,,1510964,"CV Sciences, Inc.",,
981,2588,Accelera Innovations Inc,3,Entity,,,,,1444144,"ACCELERA INNOVATIONS, INC.",,
985,2587,Chancellor Corp,3,Entity,,,,,724051,CHANCELLOR CORP,,
987,2586,Dell Inc,3,Entity,,,,,826083,DELL INC,,
989,2585,"Provectus Biopharmaceuticals, Inc",3,Entity,,,,,315545,"PROVECTUS BIOPHARMACEUTICALS, INC.",,
992,2755,Praxsyn Corp,3,Entity,,,,,1346973,Praxsyn Corp,,
993,2755,Adaptive Medias Inc,3,Entity,,,,,1428397,"Adaptive Medias, Inc.",,
1008,2752,Vereit Inc,3,Entity,,,,,1507385,"VEREIT, Inc.",,
1010,2751,Vereit Inc,3,Entity,,,,,1507385,"VEREIT, Inc.",,
1048,2739,Tech Data Corp,3,Entity,,,,,790703,TECH DATA CORP,,
1052,2738,Wellness Center Usa Inc,3,Entity,,,,,1516887,"Wellness Center USA, Inc.",,
1062,2735,Verizon Communications Inc,3,Entity,,,,,732712,VERIZON COMMUNICATIONS INC,,
1064,2623,Uti Worldwide Inc,3,Entity,,,,,1124827,UTi WORLDWIDE INC,,
1069,2625,Madison Capital Energy Income Fund I Lp,3,Entity,,,,,1472478,Madison Capital Energy Income Fund I LP,,
1077,2626,Unitek Global Services Inc,3,Entity,,,,,826773,"UniTek Global Services, Inc.",,
1080,2627,Coherent Inc,3,Entity,,,,,21510,COHERENT INC,,
1081,2627,Rofin Sinar Technologies Inc,3,Entity,,,,,1019361,ROFIN SINAR TECHNOLOGIES INC,,
1085,2629,Madison Capital Energy Income Fund I Lp,3,Entity,,,,,1472478,Madison Capital Energy Income Fund I LP,,
1089,2630,Madison Capital Energy Income Fund I Lp,3,Entity,,,,,1472478,Madison Capital Energy Income Fund I LP,,
1099,2632,L3 Technologies Inc,3,Entity,,,,,1039101,"L3 TECHNOLOGIES, INC.",,
1101,2633,L3 Technologies Inc,3,Entity,,,,,1039101,"L3 TECHNOLOGIES, INC.",,
1103,2634,Advanced Emissions Solutions Inc,3,Entity,,,,,1515156,"Arq, Inc.",,
1112,2636,Gl Beyond Income Fund,3,Entity,,,,,1532716,GL Beyond Income Fund,,
1118,2637,Kla Corp,3,Entity,,,,,319201,KLA CORP,,
1119,2637,Lam Research Corp,3,Entity,,,,,707549,LAM RESEARCH CORP,,
1126,2639,Ipayment Inc,3,Entity,,,,,1140184,"iPayment, Inc.",,
1133,2641,Ixia,3,Entity,,,,,1120295,IXIA,,
1142,2644,Longwei Petroleum Investment Holding Ltd,3,Entity,,,,,1111817,LONGWEI PETROLEUM INVESTMENT HOLDING LTD,,
1146,2646,Sun Healthcare Group Inc,3,Entity,,,,,904978,SUN HEALTHCARE GROUP INC,,
1150,2647,Sun Healthcare Group Inc,3,Entity,,,,,904978,SUN HEALTHCARE GROUP INC,,
1162,2652,Orthofix Medical Inc,3,Entity,,,,,884624,Orthofix Medical Inc.,,
1164,2653,Orthofix Medical Inc,3,Entity,,,,,884624,Orthofix Medical Inc.,,
1166,2654,Orthofix Medical Inc,3,Entity,,,,,884624,Orthofix Medical Inc.,,
1174,2658,Spectrum Group International Inc,3,Entity,,,,,895516,"SPECTRUM GROUP INTERNATIONAL, INC.",,
1182,2477,Global Digital Solutions Inc,3,Entity,,,,,1011662,GLOBAL DIGITAL SOLUTIONS INC,,
1191,2480,Wipro Ltd,3,Entity,,,,,1123799,WIPRO LTD,,
1197,2482,St Joe Co,3,Entity,,,,,745308,ST JOE Co,,
1202,2484,American Home Mortgage Investment Corp,3,Entity,,,,,1256536,AMERICAN HOME MORTGAGE INVESTMENT CORP,,
1208,2486,Fleming Companies Inc /ok/,3,Entity,,,,,352949,FLEMING COMPANIES INC /OK/,,
1210,2487,Companies (tc) Llc,3,Entity,,,,,1455675,COMPANIES (TC) LLC,,
1212,2488,Home Solutions Of America Inc,3,Entity,,,,,855424,HOME SOLUTIONS OF AMERICA INC,,
1233,2491,Uni-pixel,3,Entity,,,,,1171012,Uni-Pixel,,
1237,2493,Autonomy Corp Plc,3,Entity,,,,,1111492,AUTONOMY CORP PLC,,
1238,2493,Hp Inc,3,Entity,,,,,47217,HP INC,,
1248,2497,Bioelectronics Corp,3,Entity,,,,,1320869,BioElectronics Corp,,
1253,2498,Dynaresource Inc,3,Entity,,,,,1111741,DYNARESOURCE INC,,
1254,2498,Freestone Resources Inc,3,Entity,,,,,1089319,"FREESTONE RESOURCES, INC.",,
1255,2498,Seven Arts Entertainment Inc,3,Entity,,,,,1408276,Seven Arts Entertainment Inc.,,
1258,2499,Lime Energy Co,3,Entity,,,,,1065860,LIME ENERGY CO.,,
1267,2502,Weatherford International Ltd,3,Entity,,,,,1170565,WEATHERFORD INTERNATIONAL LTD,,
1285,2509,Orrstown Bank /pa/,3,Entity,,,,,839151,ORRSTOWN BANK /PA/                                      /TA,,
1301,2832,Fresenius Medical Care Corp,3,Entity,,,,,1019600,FRESENIUS MEDICAL CARE CORP,,
1312,2834,Breitling Energy Corp,3,Entity,,,,,1229089,Breitling Energy Corp,,
1318,2851,Behavioral Recognition Systems Inc,3,Entity,,,,,1376914,"Giant Gray, Inc.",,
1332,2678,Vantagoe Drilling Co,3,Entity,,,,,1419428,Vantage Drilling CO,,
1333,2678,Petrobras - Petroleo Brasileiro Sa,3,Entity,,,,,1119639,PETROBRAS - PETROLEO BRASILEIRO SA,,
1345,2516,L3harris Technologies Inc,3,Entity,,,,,202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",,
1357,2519,Zco Liquidating Corp,3,Entity,,,,,1355128,ZCO LIQUIDATING Corp,,
1364,2521,Keybanc Capital Markets inc,3,Entity,,,,,1074714,"KEYBANC CAPITAL MARKETS,INC /OH/",,
1369,2523,Oplink Communications Inc,3,Entity,,,,,1022225,OPLINK COMMUNICATIONS INC,,
1374,2525,Dell Inc,3,Entity,,,,,826083,DELL INC,,
1377,2526,Continuityx Solutions Inc,3,Entity,,,,,1497814,"ContinuityX Solutions, Inc.",,
1384,2530,Verint Systems Inc,3,Entity,,,,,1166388,VERINT SYSTEMS INC,,
1385,2530,Ca Inc,3,Entity,,,,,356028,"CA, INC.",,
1387,2531,Electronic Game Card Inc,3,Entity,,,,,1083036,ELECTRONIC GAME CARD INC,,
1393,2533,Icon Income Fund Nine Llc,3,Entity,,,,,1157522,ICON INCOME FUND NINE LLC,,
1394,2533,Icon Income Fund Ten Llc,3,Entity,,,,,1220606,ICON INCOME FUND TEN LLC,,
1395,2533,Icon Leasing Fund Eleven Llc,3,Entity,,,,,1312910,"ICON LEASING FUND ELEVEN, LLC",,
1396,2533,Icon Leasing Fund Twelve Llc,3,Entity,,,,,1377848,"ICON LEASING FUND TWELVE, LLC",,
1404,2535,China Valves Technology Inc,3,Entity,,,,,1080360,"CHINA VALVES TECHNOLOGY, INC",,
